Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward,Pos0_Reward,Pos1_Reward,Pos2_Reward,Pos3_Reward,Pos4_Reward
1000,-3.42301243019104,35.01806606292725,0.771,85.83319999999999,16.975800000000003,17.473800000000004,17.1786,17.089599999999997,17.1154
2000,-3.5326111383438112,36.520529441833496,0.785,86.47739999999999,17.0938,17.6046,17.3134,17.2119,17.253700000000002
3000,-3.496063879013062,35.367781181335445,0.779,86.46829999999999,17.157400000000003,17.570400000000003,17.3609,17.165800000000004,17.213800000000003
4000,-3.1855817451477053,32.59772491455078,0.767,85.50009999999999,16.913200000000003,17.396800000000002,17.1062,17.023400000000002,17.0605
5000,-3.378194124221802,34.17628520965576,0.765,85.6019,16.9251,17.418300000000002,17.158099999999997,17.0288,17.0716
6000,-3.436072275161743,34.675075912475585,0.765,85.65339999999999,16.9302,17.4269,17.1522,17.004,17.140100000000004
7000,-3.331291563034058,33.64452125549316,0.769,85.6254,16.996,17.439700000000002,17.156,16.968300000000003,17.0654
8000,-3.3589896353085837,33.96267868677776,0.748,84.59129999999999,16.7246,17.2449,16.968500000000002,16.746800000000004,16.906500000000005
9000,-3.3442868099212646,33.38139110565186,0.77,85.67089999999999,16.987800000000004,17.468700000000002,17.118800000000004,16.964100000000002,17.1315
10000,-3.3631979646682737,34.71747425079346,0.769,85.36030000000001,16.941100000000002,17.304200000000005,17.123200000000004,16.938,17.053800000000003
11000,-3.507485678672791,35.73948020935059,0.774,85.7535,16.9934,17.428200000000004,17.140700000000006,17.0105,17.180700000000005
12000,-3.6234238948822024,37.25959629058838,0.783,86.00210000000001,17.0389,17.4557,17.1877,17.1038,17.216
13000,-3.333731013298035,33.87288154602051,0.763,85.07310000000001,16.8362,17.305300000000003,17.0484,16.912,16.971200000000003
14000,-3.476008749961853,35.63647666931153,0.773,85.7153,16.989200000000004,17.4775,17.2036,16.9585,17.0865
15000,-3.3419571084976196,33.99376453399658,0.758,85.27239999999999,16.8785,17.364000000000004,17.0732,16.9175,17.0392
16000,-3.3699200763702395,34.642883644104,0.791,86.841,17.213800000000003,17.5974,17.422600000000003,17.275599999999997,17.331599999999998
17000,-3.3983399877548215,35.24374740600585,0.771,85.4703,16.9404,17.4376,17.0355,16.963800000000003,17.093
18000,-3.4160786685943605,35.200320625305174,0.778,85.8392,16.9632,17.4719,17.170099999999998,17.0534,17.1806
19000,-3.3228436779975894,34.42581558227539,0.759,84.7944,16.797900000000002,17.285600000000002,16.953599999999998,16.787200000000002,16.970100000000002
20000,-3.479605607032776,36.36269859313965,0.772,85.912,17.0821,17.448300000000003,17.183100000000003,17.064,17.1345
21000,-3.4746492595672605,35.074162559509276,0.761,85.2575,16.8953,17.3063,17.128200000000003,16.947100000000002,16.980600000000003
22000,-3.4491106348037723,35.263458747863766,0.756,85.1943,16.843600000000006,17.3412,17.066,16.879099999999998,17.064400000000003
23000,-3.3409471826553343,33.512717895507805,0.758,85.59890000000001,16.980900000000002,17.380200000000002,17.1452,16.9717,17.120900000000002
24000,-3.478503314971924,34.711754608154294,0.761,85.3649,16.915300000000002,17.3609,17.0304,16.9592,17.0991
25000,-3.261095537185669,32.70899124145508,0.776,86.1071,17.070500000000003,17.5277,17.223200000000006,17.088900000000002,17.196800000000003
26000,-3.3832947959899897,34.32014152526855,0.754,84.82959999999999,16.8631,17.267700000000005,16.967200000000002,16.800199999999997,16.9314
27000,-3.3971339297294616,34.117377567291264,0.765,85.56660000000001,16.936799999999998,17.4539,17.1123,16.9437,17.1199
28000,-3.3654785242080685,34.74113216400146,0.78,86.1371,17.0491,17.553600000000007,17.264300000000002,17.0601,17.21
29000,-3.2090019960403446,31.91798187255859,0.76,85.4382,16.900800000000004,17.3636,17.1599,16.948900000000002,17.065
30000,-3.475659079551696,35.761034355163574,0.775,85.857,16.973700000000004,17.4859,17.192700000000002,16.9939,17.210800000000003
31000,-3.3726690692901613,34.047473411560055,0.757,85.1893,16.8974,17.3324,17.059300000000004,16.904100000000003,16.996100000000006
32000,-3.4566395015716553,35.414999923706056,0.772,86.36189999999999,17.0847,17.5535,17.323400000000003,17.148,17.2523
33000,-3.2638718338012693,33.18780933380127,0.777,85.7955,17.051099999999998,17.4435,17.205,16.9924,17.1035
34000,-3.421567620277405,34.455405883789055,0.782,86.2861,17.064200000000003,17.569100000000002,17.246599999999997,17.1725,17.233700000000002
35000,-3.3145138351122543,33.689535458882645,0.75,84.83279999999999,16.786900000000003,17.266,17.016,16.828,16.9359
36000,-3.3642289075851437,34.361835441589356,0.756,84.707,16.7576,17.238599999999998,16.964800000000004,16.8079,16.9381
37000,-3.27990657711029,33.394523239135744,0.762,85.12930000000001,16.8245,17.373099999999997,16.9942,16.922800000000002,17.0147
38000,-3.1621937322616582,31.755519981384275,0.735,83.55170000000001,16.494600000000002,17.0564,16.691800000000004,16.5585,16.750400000000003
