Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward,Pos0_Reward,Pos1_Reward,Pos2_Reward,Pos3_Reward,Pos4_Reward
5000,-3.309318501551946,34.361514401435855,0.7766,86.51112,17.114420000000003,17.61888,17.30818,17.1654,17.30424
10000,-3.3499810264587397,34.986565917968754,0.7864,87.60358000000001,17.341920000000002,17.8025,17.552000000000003,17.348480000000002,17.558680000000003
15000,-3.2972139521439874,35.08494140307109,0.7962,88.39144,17.4793,17.954079999999998,17.68502,17.50562,17.76742
20000,-3.339021141529083,36.24566837946574,0.8156,89.46952,17.73814,18.1715,17.89076,17.704620000000002,17.9645
25000,-3.3272332310676576,36.32354102134705,0.821,90.04978,17.83502,18.26914,18.0142,17.853180000000002,18.07824
30000,-3.277929337223371,36.5255973815918,0.8272,90.20968,17.87198,18.281579999999998,18.05308,17.876620000000003,18.12642
35000,-3.1361690966288247,35.14553815523784,0.8088,89.2607,17.69882,18.10282,17.83944,17.701960000000003,17.917660000000005
40000,-3.0767216066692193,35.13533651103144,0.815,89.66162,17.755860000000002,18.170720000000003,17.9112,17.797300000000003,18.02654
45000,-3.013194617827734,35.32253098487854,0.8238,90.01932000000001,17.840640000000004,18.21668,18.00494,17.881140000000002,18.07592
50000,-2.964798054073168,35.62469729547916,0.8334,90.45638,17.948580000000003,18.30008,18.07116,17.97922,18.15734
55000,-2.8060106203953423,34.31450121402741,0.821,89.91426,17.83172,18.204620000000002,17.957,17.883540000000004,18.03738
60000,-2.7119259463185847,34.025852982894236,0.8238,90.06886000000002,17.859820000000003,18.246640000000003,17.9948,17.907380000000003,18.06022
65000,-2.6396636732419334,33.79161552588145,0.8216,89.7281,17.799160000000004,18.17792,17.9561,17.79988,17.99504
70000,-2.47419162372748,31.974818174044287,0.802,88.65596000000001,17.58474,18.01124,17.750560000000004,17.58132,17.7281
75000,-2.3985034036636352,31.575909423828122,0.8038,88.58654,17.62726,17.98804,17.7507,17.5473,17.673240000000003
80000,-2.3562161715825396,30.95703176657359,0.7968,88.5047,17.584139999999998,17.9771,17.730140000000002,17.566080000000003,17.647240000000004
85000,-2.318950687448184,30.73812097708384,0.7958,88.33006,17.55576,17.96054,17.67508,17.5078,17.63088
90000,-2.30142959022522,30.458908950805668,0.8012,88.76978000000001,17.64538,18.03862,17.76116,17.59822,17.7264
95000,-2.2740604182084403,30.476505359013874,0.8026,88.37335999999999,17.56812,17.950260000000004,17.6861,17.533140000000003,17.635740000000002
100000,-2.2691093633485875,30.270991690262502,0.8052,88.76106,17.63198,18.04578,17.72222,17.6031,17.75798
105000,-2.2639985299110412,30.313711826006568,0.8116,89.14214,17.7128,18.1216,17.83058,17.667200000000005,17.809960000000004
110000,-2.237023437420527,29.73616008758545,0.8104,89.22284,17.74564,18.114240000000002,17.850559999999998,17.67094,17.841460000000005
115000,-2.186579303741455,29.24472235838572,0.813,89.35077999999999,17.78356,18.151480000000003,17.880540000000003,17.68168,17.85352
120000,-2.136068462928136,28.592108662923177,0.8122,89.3611,17.7606,18.1391,17.87322,17.7102,17.87798
125000,-2.0680570885539056,27.717378187179566,0.803,88.73876,17.64674,17.9885,17.73048,17.6006,17.772440000000003
130000,-2.00725406229496,26.805072251955668,0.7964,88.45968,17.596680000000003,17.944020000000002,17.7016,17.527700000000003,17.689680000000003
135000,-1.949747671484947,26.25120759010315,0.7946,88.30102,17.565179999999998,17.900860000000005,17.64668,17.503580000000003,17.684720000000002
140000,-1.921646528840065,25.84761615594228,0.7946,88.3937,17.56172,17.8948,17.65504,17.554840000000002,17.7273
145000,-1.8664613546927769,25.13307586510976,0.7944,88.31826000000001,17.56036,17.87806,17.613960000000002,17.52492,17.74096
150000,-1.8137752187728884,24.719605720520022,0.7988,88.48908,17.577840000000002,17.952360000000002,17.67742,17.565560000000005,17.7159
155000,-1.7068210030595463,23.46074717839559,0.7826,87.28732,17.336940000000002,17.70322,17.51642,17.341379999999997,17.38936
160000,-1.6408019082069398,22.474085494995116,0.7692,86.85444,17.25826,17.5444,17.43898,17.321279999999998,17.291520000000002
165000,-1.5900110869407655,21.908291854858394,0.7682,86.68412,17.205560000000002,17.533960000000004,17.4072,17.283179999999998,17.25422
170000,-1.5344826787710188,21.244035832087196,0.7606,86.43148000000001,17.16512,17.50938,17.383640000000003,17.182080000000003,17.19126
