5000,-0.0001721253366351606,0.0001372878595366669,0.822
10000,-8.112743475029067e-05,9.951627256062541e-05,0.827
15000,3.032282939666003e-05,8.290396252287674e-05,0.8258
20000,-4.6815669351948e-05,8.589299401743726e-05,0.823
25000,-0.000117168974878723,8.639105969147447e-05,0.8196
30000,-0.00010759549638212615,7.972629495982446e-05,0.8254
35000,-7.277005284057245e-05,7.830165547299354e-05,0.8232
40000,-0.0001492070996415388,7.731814139333437e-05,0.817
45000,7.429355709182871e-07,7.519164184644899e-05,0.8248
50000,-0.0001322692681014814,7.874120744115014e-05,0.8232
55000,-0.00014878300943287884,0.00010100883082486689,0.824
60000,-0.00015063834303343055,0.00010213521803355737,0.8336
65000,5.187340343582051e-06,9.045359365700278e-05,0.8272
70000,1.9646767245633435e-05,8.900009703685772e-05,0.8188
75000,-0.0002278531196301022,9.313003526282652e-05,0.842
80000,-0.000127372933156553,9.25893516029211e-05,0.8332
85000,4.206757923661543e-05,9.308705527170484e-05,0.834
90000,-0.0002758223537808669,0.00012715238952533463,0.8164
95000,-3.967783823100035e-05,0.0001260305687840931,0.8328
100000,-9.111596827141433e-05,8.182826486122592e-05,0.8182
105000,-1.133605686215824e-05,7.591194480482955e-05,0.8196
110000,-0.00016552602679438996,8.688275844785191e-05,0.8388
115000,-2.89450223956168e-05,7.712090281648156e-05,0.82
120000,-0.00012093617882980765,8.962311524859008e-05,0.8298
125000,-3.6381667043473404e-05,7.639794879967509e-05,0.8316
130000,-0.00012034230948181346,8.032902693836756e-05,0.827
135000,-6.432973833792333e-05,7.775049364325874e-05,0.8192
140000,-8.334705605079764e-05,8.190409425878897e-05,0.8324
145000,-2.6046209262384074e-05,8.929046247351874e-05,0.8174
150000,-0.00019031068916319785,9.255376562578022e-05,0.8252
155000,2.87197439359696e-05,8.62679570791838e-05,0.8226
160000,-0.00018723053826003402,8.685837822971128e-05,0.8218
165000,-3.0336039399907848e-05,8.790745572617237e-05,0.8306
170000,-9.99871599447033e-05,8.03255071938717e-05,0.8388
175000,-2.964502572536811e-05,8.713553182568158e-05,0.8336
180000,-0.00015828990692151967,9.759592179155636e-05,0.824
185000,-7.191034277560032e-05,8.986545000642882e-05,0.8276
190000,-0.00014711716576888047,8.303469636909237e-05,0.8364
195000,-4.189082743798042e-05,7.789519599021372e-05,0.834
200000,-8.939496072031262e-05,8.082840304268757e-05,0.8286
205000,4.67363317274366e-06,9.320234011797963e-05,0.833
210000,-0.00016661966759177931,0.00010851752585949725,0.8384
215000,-0.0001653343558068034,9.520908655679744e-05,0.8366
220000,-2.0836253478743554e-05,8.749622838877258e-05,0.831
225000,-0.00016790792382696804,8.8106194554079e-05,0.8316
230000,4.940631656609177e-05,0.00010756282244983595,0.826
235000,-0.00029671765086791506,0.00010951781001969484,0.8346
240000,7.32536417596445e-05,0.00010737343912599802,0.8196
245000,-0.00020050760813121644,9.132902161344764e-05,0.8278
250000,-4.184838556303322e-05,7.823292692895241e-05,0.8288
255000,-6.843143216982477e-05,8.383884145903563e-05,0.8264
260000,-7.173768801180815e-05,9.092341103193273e-05,0.835
265000,-6.817204385183487e-05,8.518744874416608e-05,0.826
270000,-0.0001617738276308955,0.00010337207928993546,0.8448
275000,-0.00018371702969053997,0.00012758551130663483,0.8374
280000,8.836266278606786e-05,0.00011550583424953705,0.8288
285000,-0.00021710812019166596,0.00010499512822918959,0.829
290000,-7.04404991400528e-05,8.918952244130196e-05,0.8298
295000,-9.923309290451984e-05,7.843184167817843e-05,0.8354
300000,-3.635137127275813e-05,8.144900463472975e-05,0.8274
305000,-0.00011040041561885946,8.320780271669324e-05,0.8276
310000,-0.00012740761923737411,8.80946931829385e-05,0.8322
315000,-1.4902198275497814e-05,7.624881360849638e-05,0.8324
320000,-0.0001355928326120193,9.093907156847823e-05,0.8356
325000,-9.05964138458633e-05,8.6877807007113e-05,0.8298
330000,-6.666084408330472e-05,7.91003715320308e-05,0.8332
335000,-5.4398173858277475e-05,7.53038728599558e-05,0.8394
340000,-0.00012185330006862689,7.409733598251478e-05,0.8368
345000,-6.110177028344679e-05,7.81669167854884e-05,0.8344
350000,-6.666681872028828e-05,7.605669649516737e-05,0.838
355000,-0.00014122839674319434,7.842977056102625e-05,0.8296
360000,-6.88870722986697e-05,8.26495831158051e-05,0.8392
365000,-0.00010894919494049923,8.146818768379845e-05,0.8292
370000,-2.525651328445139e-05,8.895901252496212e-05,0.821
375000,-0.00010164345196402715,9.399128722851974e-05,0.8218
380000,-8.610336822094667e-05,7.74253997709214e-05,0.8366
385000,-0.00011118363346094672,8.617375367422305e-05,0.831
390000,-9.325785708824695e-05,0.00010066899661372493,0.8328
395000,-8.98926346137515e-05,0.00010042134912826283,0.8286
400000,-2.8303567515782418e-05,7.886587369891156e-05,0.8414
405000,-0.00017706402595847427,7.960438170298205e-05,0.8364
410000,3.334044197345085e-06,8.088860522548202e-05,0.8414
415000,-0.00013914804843958943,8.003985491692826e-05,0.826
420000,-1.93533671301299e-05,8.06729237766653e-05,0.8352
425000,-0.00011066231173997397,7.81278830127912e-05,0.8344
430000,8.805369993799165e-06,9.252882076301223e-05,0.8348
435000,-0.00030617279226925856,0.00012613569228763126,0.8338
440000,-2.4629149466666895e-05,0.00014259537359369764,0.8382
445000,-0.00020122015777133124,0.00011464589397292002,0.835
450000,-0.00010241964748432939,0.00010239395107972719,0.837
455000,-8.955208153338394e-05,9.981227852525383e-05,0.8288
460000,-1.4992338365909352e-05,8.173371221029969e-05,0.8386
465000,-4.69404926365235e-05,7.737397485787211e-05,0.8382
470000,-6.91851843510468e-05,7.999952231330099e-05,0.838
475000,-0.00010177984904262501,8.637118978937076e-05,0.8394
480000,-0.00014508186742906077,9.14014563022647e-05,0.8432
485000,-6.071093774390526e-05,8.529922975551175e-05,0.839
490000,-0.00011721080588339798,7.939485612951103e-05,0.8376
495000,-9.184522991152179e-05,8.446294969357753e-05,0.8434
