Episode,Actor_Loss,Critic_Loss,Win_Rate
5000,3.06152450629265e-05,5.1890562526355296e-05,0.8486
10000,-1.499930974412802e-05,5.177178797527196e-05,0.8558
15000,1.273747966534885e-05,5.155957731641019e-05,0.8542
20000,-2.5270520125994402e-05,4.904586144814106e-05,0.8588
25000,2.6192897101519416e-05,4.885586539508633e-05,0.8566
30000,1.0042222246653418e-05,4.918772037854069e-05,0.8606
35000,-6.104732350373208e-05,4.8879542152027845e-05,0.8618
40000,2.8493673369335626e-05,4.9812994130542904e-05,0.8546
45000,-1.7819303762369452e-05,4.894793947523399e-05,0.8592
50000,1.0140997303749278e-05,4.863250812733263e-05,0.854
55000,-1.2978358042504545e-05,4.8016194183298424e-05,0.8654
60000,-9.937665311717275e-06,4.8884276981445275e-05,0.8604
65000,3.520131387295291e-05,4.84654969034676e-05,0.849
70000,4.276929522054236e-05,4.909387947312401e-05,0.8534
75000,-8.336077776814068e-05,4.898267165433777e-05,0.8676
80000,1.8900244086857445e-05,4.7897454272100255e-05,0.8612
85000,2.9850785827163592e-05,4.918127975226684e-05,0.8524
90000,-2.1812660531850262e-05,4.87520908633166e-05,0.858
95000,-1.419659500529831e-05,4.847799003903714e-05,0.8572
100000,-2.534953775723451e-05,4.884703016812083e-05,0.857
105000,2.677474561660157e-05,4.831156843465578e-05,0.8556
110000,-3.699544021853655e-05,4.902825750595303e-05,0.8628
115000,-2.0981707877393527e-05,4.9012280926589206e-05,0.86
120000,3.521741591859371e-05,4.8246803840890564e-05,0.8626
125000,-3.7586489690471816e-05,4.7380677168130994e-05,0.865
130000,9.234021347508487e-05,4.8329329650226534e-05,0.8528
135000,-2.4548361340214832e-05,4.962113693498237e-05,0.8554
140000,-6.051498689588618e-05,4.7611168907757886e-05,0.8648
145000,2.4886264308558355e-06,4.898214607843935e-05,0.8612
150000,-2.3970692678710255e-06,4.842822739231886e-05,0.8674
155000,8.067316671246238e-05,4.84875746896369e-05,0.8524
160000,-6.113511762761014e-05,4.9233185959367447e-05,0.8672
165000,-6.611949609975909e-05,4.8963216534542404e-05,0.8614
170000,-4.0797564639042915e-05,4.737083145300858e-05,0.8718
175000,-2.412094944722175e-05,4.880248564839586e-05,0.862
180000,8.69130843966559e-05,4.745839649568433e-05,0.8562
185000,2.5441655837154115e-05,4.800653044620286e-05,0.8558
190000,1.2022715284966458e-05,4.9122539048371635e-05,0.8608
195000,-3.561217275724313e-05,4.796916049520445e-05,0.869
200000,-3.0940872332631326e-05,4.900049648510859e-05,0.8684
