Episode,Actor_Loss,Critic_Loss,Win_Rate
500,-0.1544568784534931,0.5506676733493805,0.854
1000,-0.139175246655941,0.4984946846961975,0.826
1500,-0.1279744726916154,0.47076110541820526,0.834
2000,-0.10894047059118747,0.41473694890737534,0.834
2500,-0.12341380361467601,0.38627947866916656,0.854
3000,-0.1026184064646562,0.34927431245644885,0.85
3500,-0.0683158790692687,0.2890641912817955,0.852
4000,-0.05917157784570008,0.25018005818128586,0.858
4500,-0.03923030553075175,0.20655273149410883,0.83
5000,-0.0076341968262568114,0.15503600984811783,0.848
5500,-0.009853579010814429,0.12792403623461723,0.854
6000,0.01926339428561429,0.11170761535565059,0.84
6500,0.021833390835672616,0.08941873721778393,0.858
7000,0.0333488126595815,0.0808780478934447,0.866
7500,0.038961859652772546,0.07061063684523106,0.85
8000,0.04090300509706139,0.06752653978765011,0.85
8500,0.044484705291688444,0.06285649662216504,0.842
9000,0.049959769845008856,0.05697821732610464,0.816
9500,0.05955415479838848,0.05556348990648985,0.842
10000,0.060339322810371715,0.05216547598441442,0.848
10500,0.056912807561457154,0.04831632412970066,0.822
11000,0.05931769143790007,0.04714579414576292,0.822
11500,0.06040165051817894,0.04386616994937261,0.832
12000,0.053942009806632996,0.04099791869521141,0.798
12500,0.046708388874928154,0.041059473529458046,0.814
13000,0.05477544367313385,0.039031077176332474,0.82
13500,0.05502305328845977,0.04142812918871641,0.848
14000,0.05744304557641348,0.04233196129401525,0.83
14500,0.056398425810039045,0.040785388089716434,0.77
15000,0.05984980178376039,0.04268786124885082,0.832
15500,0.05512187834829092,0.04102679435163736,0.804
16000,0.060839108563959604,0.0387777928262949,0.828
16500,0.062187993278106056,0.0419286098331213,0.816
17000,0.05654879007488489,0.03768877498805523,0.75
17500,0.058888472119967145,0.038199864948789276,0.782
18000,0.06460453476756811,0.039673224091529846,0.796
18500,0.05078824292868375,0.036053502932190895,0.776
19000,0.05787022896111011,0.03732411873837312,0.814
19500,0.05609701834619045,0.03695391956716776,0.782
20000,0.06165039675931136,0.03759302447239558,0.788
20500,0.06138427704572677,0.03909995499998331,0.766
21000,0.06081036292016506,0.03731374256312847,0.766
21500,0.055323056690394876,0.037720903754234314,0.742
22000,0.050341608375310896,0.03738100019594034,0.742
22500,0.0479227283038199,0.03894632030278444,0.806
23000,0.04917450733482838,0.036552575416862965,0.762
23500,0.03992687358210484,0.03619108349084854,0.78
24000,0.04377196710556745,0.03701443690806627,0.726
24500,0.04426196068525314,0.035288711388905845,0.734
25000,0.046786756813526155,0.034053572453558445,0.768
25500,0.04920467448731264,0.03337415556112925,0.772
26000,0.03980483328923583,0.03408453334122896,0.754
26500,0.038357135374099016,0.03154859784990549,0.75
27000,0.04248745981603861,0.03382705772916476,0.754
27500,0.03893016874790192,0.0329230222851038,0.732
28000,0.041774662832419075,0.03222283845146497,0.738
28500,0.03944223569706082,0.03273069392889738,0.762
29000,0.04242831418911616,0.0340731218457222,0.708
29500,0.046083787269890306,0.0353372311219573,0.746
30000,0.04858271653453509,0.03661533507208029,0.766
30500,0.037764438427984715,0.0321192629635334,0.72
31000,0.042137213175495465,0.031248016593356926,0.752
31500,0.03395649897865951,0.033056420274078846,0.724
32000,0.031590454590817295,0.032308620711167656,0.754
32500,0.04038344323635101,0.03365212772041559,0.78
33000,0.03353475593030453,0.03368625324219465,0.754
33500,0.03294686588148276,0.032947733998298645,0.748
34000,0.03289637295529246,0.03330996911972761,0.742
34500,0.028282771818339825,0.03317651338875294,0.754
35000,0.028790872171521188,0.03146782238036394,0.742
35500,0.03687014753619829,0.03490142213801543,0.74
36000,0.03578390292823315,0.032401797361671925,0.764
36500,0.034209154142687714,0.03221383256216844,0.76
37000,0.02539233034476638,0.03302167356014252,0.752
37500,0.03330101532240708,0.033689673990011215,0.742
38000,0.03292436907067895,0.03405370656400919,0.74
38500,0.03545288499444723,0.0341384249428908,0.772
39000,0.03593448670580983,0.03359745442867279,0.76
39500,0.02857018659512202,0.031494646333158016,0.738
40000,0.030355994123965502,0.03299925662577152,0.714
