Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward
5000,-0.04744010729094347,0.07682567476122468,0.4108,0.4108
10000,-0.047641716069645346,0.07754674236531611,0.4326,0.4326
15000,-0.04425045682915619,0.07551751299096006,0.439,0.439
20000,-0.04045289128466888,0.07089607389988722,0.4386,0.4386
25000,-0.036536687539358216,0.06717178757701601,0.4414,0.4414
30000,-0.03305124603901748,0.06453699121872584,0.4614,0.4614
35000,-0.02714194424312424,0.05957105052140024,0.4696,0.4696
40000,-0.02181271414651915,0.05411613711880313,0.4782,0.4782
45000,-0.016281003895814394,0.0485966126434505,0.486,0.486
50000,-0.010107872325978758,0.04257914686092624,0.4946,0.4946
55000,-0.004154101464056718,0.03610178193560353,0.4888,0.4888
60000,-0.0008476636621859748,0.031256466965984414,0.4914,0.4914
65000,0.0028316445573350565,0.02680425442479275,0.4896,0.4896
70000,0.005158879715438363,0.022999208317034774,0.4972,0.4972
75000,0.007416258628169696,0.019838754156673397,0.5088,0.5088
80000,0.009362368174414668,0.01633310906106123,0.4816,0.4816
85000,0.010318991057229816,0.013340252106664357,0.4712,0.4712
90000,0.010855211758254362,0.011299936616394137,0.4556,0.4556
95000,0.010612915182072255,0.009830574487784394,0.4358,0.4358
100000,0.010068867638431213,0.008414616825541964,0.431,0.431
105000,0.009385152197709041,0.007231766025402716,0.4182,0.4182
110000,0.009567701464725865,0.006644719392406168,0.4312,0.4312
115000,0.0086751333022091,0.005771515990740487,0.4358,0.4358
120000,0.0082017763517797,0.005109434154022623,0.4408,0.4408
125000,0.008367067009762481,0.004440359245226891,0.4346,0.4346
130000,0.007676704984623939,0.003917779074981809,0.4432,0.4432
135000,0.007715502169190182,0.0035960043875362586,0.4638,0.4638
140000,0.007608395076736257,0.0030619627149361703,0.4396,0.4396
145000,0.006824919119078133,0.0027003116722750875,0.451,0.451
150000,0.006706497476746638,0.0024221768361274844,0.4676,0.4676
155000,0.006854928171055184,0.0021584837274901845,0.4496,0.4496
160000,0.0064679492813801125,0.001970009578924094,0.4514,0.4514
165000,0.00631261469313392,0.0018149667410869842,0.4474,0.4474
170000,0.006136031428145037,0.0016841428112928515,0.4456,0.4456
175000,0.005910792733941759,0.001505851762236229,0.437,0.437
180000,0.005583922227810102,0.0013504561071318608,0.4428,0.4428
185000,0.005374054644360311,0.001213427855098551,0.4314,0.4314
190000,0.005318814388842188,0.0011484303727879056,0.4374,0.4374
195000,0.005158989017622339,0.0010969835674148744,0.4532,0.4532
200000,0.005136962931741167,0.0010163904538516093,0.4378,0.4378
