Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward,Pos0_Reward,Pos1_Reward,Pos2_Reward,Pos3_Reward,Pos4_Reward
90000,-0.018092457320142006,0.02137460042057293,0.3896,0.3896,0.3896,0.3896,0.3896,0.3896,0.3896
95000,-0.015042388776450285,0.018803808256052434,0.367,0.367,0.367,0.367,0.367,0.367,0.367
100000,-0.013509392363053783,0.01679016291336329,0.3564,0.3564,0.3564,0.3564,0.3564,0.3564,0.3564
105000,-0.012375311447041376,0.015808090534327284,0.3622,0.36219999999999997,0.3622,0.3622,0.3622,0.3622,0.3622
110000,-0.011691373014722816,0.014439982836068208,0.367,0.367,0.367,0.367,0.367,0.367,0.367
115000,-0.01099994800053537,0.013196109518009636,0.3638,0.3638,0.3638,0.3638,0.3638,0.3638,0.3638
120000,-0.009238775258584481,0.011523016622023926,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458
125000,-0.009232167069650521,0.011136398223295275,0.369,0.369,0.369,0.369,0.369,0.369,0.369
130000,-0.007507182085495776,0.009972529904916882,0.3562,0.35619999999999996,0.3562,0.3562,0.3562,0.3562,0.3562
135000,-0.006954592599442029,0.009081085919336016,0.35,0.35,0.35,0.35,0.35,0.35,0.35
140000,-0.006005394308553411,0.007999720001160832,0.3358,0.3358,0.3358,0.3358,0.3358,0.3358,0.3358
145000,-0.005795970632378679,0.007280409851643655,0.3338,0.3338,0.3338,0.3338,0.3338,0.3338,0.3338
150000,-0.005348303843971476,0.006733731871437547,0.3402,0.3402,0.3402,0.3402,0.3402,0.3402,0.3402
155000,-0.005039375442678907,0.0060794685168990064,0.3436,0.3436,0.3436,0.3436,0.3436,0.3436,0.3436
160000,-0.004674423730508091,0.005622139472481129,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558
165000,-0.005318333298949126,0.005516468519012309,0.3798,0.3798,0.3798,0.3798,0.3798,0.3798,0.3798
170000,-0.004117689656602495,0.004848081830250857,0.3832,0.3832,0.3832,0.3832,0.3832,0.3832,0.3832
175000,-0.0035694369550297524,0.004180498044505449,0.3742,0.3742,0.3742,0.3742,0.3742,0.3742,0.3742
