Episode,Actor_Loss,Critic_Loss,Win_Rate
1000,-0.47093174383044245,6.298697233200073,0.788
2000,-0.4683686465024948,6.3431628227233885,0.785
3000,-0.4737580269575119,6.389126539230347,0.789
4000,-0.4757290142774582,6.464923000335693,0.808
5000,-0.44383123278617853,6.370009040832519,0.811
6000,-0.44277970671653744,6.177159929275513,0.795
7000,-0.4504123693704605,6.234977102279663,0.839
8000,-0.44851021647453304,5.958652782440185,0.841
9000,-0.4229224376380443,5.705092012882233,0.832
10000,-0.40549618959426875,5.298893404006958,0.85
11000,-0.33562816321849825,4.472941637039185,0.834
12000,-0.302219083532691,3.7682065963745117,0.841
13000,-0.1615460082888603,3.50225031375885,0.832
14000,-0.004477759636938572,3.3523910284042358,0.825
15000,-0.04981465665623546,3.1682701110839844,0.814
16000,-0.033918080409057444,2.905955046415329,0.837
17000,-0.03404281739145517,2.6917555570602416,0.825
18000,0.027558626905083657,2.6771897792816164,0.817
19000,0.050408766306936734,2.3841477632522583,0.816
20000,0.030577672505751254,2.259492576122284,0.83
21000,0.10989831175655126,2.2529455184936524,0.816
22000,0.10109315659850834,2.121757471561432,0.843
23000,0.10741448171436788,1.9675686717033387,0.849
24000,0.1145887577906251,2.016422063112259,0.824
25000,0.12296417765319348,1.9153127789497375,0.815
26000,0.145537678822875,1.7930197358131408,0.847
27000,0.1588977462798357,1.8748127460479735,0.836
28000,0.17239402970299122,1.8008071929216385,0.834
29000,0.1926133742928505,1.7774157047271728,0.822
30000,0.20115188375115395,1.818992590904236,0.839
31000,0.24607974261045457,1.7996354222297668,0.817
32000,0.28098108842968944,1.8461100459098816,0.82
33000,0.23084697991609576,1.8025919795036316,0.814
34000,0.27857196420431135,1.790118432044983,0.83
35000,0.2855424839258194,1.7683093905448914,0.816
36000,0.2749314811080694,1.826193317770958,0.817
37000,0.29759563297033303,1.855250322818756,0.815
38000,0.27262859731912614,1.842071008682251,0.806
39000,0.2864517393708229,1.8136801242828369,0.815
40000,0.2898427182435989,1.9100706100463867,0.797
41000,0.33263623528182507,1.8520767986774445,0.804
42000,0.2981113258004188,1.817520546913147,0.81
43000,0.29746046096086504,1.8091114997863769,0.799
44000,0.28289882183074955,1.826257312297821,0.789
45000,0.3041703048348427,1.9618495464324952,0.776
46000,0.29986952990293503,1.8432879090309142,0.8
47000,0.30902820862829683,2.007900893688202,0.788
48000,0.29312711507081984,1.8962778806686402,0.76
49000,0.31200897246599196,1.9003482580184936,0.752
50000,0.3103421202301979,1.9146434307098388,0.778
51000,0.2894026881456375,1.9066309809684754,0.787
52000,0.2747298729419708,1.8953850030899049,0.768
53000,0.2651409649848938,1.8323694348335267,0.765
54000,0.2652489010989666,1.9398677825927735,0.769
55000,0.27526835054159166,1.9422964304685593,0.767
56000,0.24867336794734,1.9749098658561706,0.767
57000,0.19504763439297673,1.9218483209609984,0.721
58000,0.2573860193789005,2.0267642378807067,0.742
59000,0.2194745160639286,1.9866917967796325,0.716
60000,0.274507100880146,2.001773202419281,0.76
61000,0.232459457218647,1.9510766744613648,0.75
62000,0.26458045333623886,1.9198052406311035,0.763
63000,0.2392897987365723,1.8538527131080627,0.733
64000,0.2580399123951793,1.891561672091484,0.728
65000,0.21967726603150367,1.879953396320343,0.729
66000,0.24931751608848568,1.918724238872528,0.749
67000,0.21624021351337436,1.9059455156326295,0.735
68000,0.2546564349532128,1.9107503056526185,0.723
69000,0.22651080444455146,1.9540053009986877,0.708
70000,0.2430461997538805,1.9326810240745544,0.743
71000,0.24662949502468115,1.9652337551116943,0.741
72000,0.2568259686231613,1.9435575366020204,0.73
73000,0.2654888924956322,1.8864131927490235,0.754
74000,0.22679056096822023,1.9880683720111847,0.723
75000,0.240000059902668,1.9762704610824584,0.716
76000,0.21349259451031685,1.8628130078315734,0.725
77000,0.25846491307020186,1.8469250202178955,0.726
78000,0.2432651732861996,1.903723132610321,0.722
79000,0.22335286542773244,1.908739721775055,0.714
80000,0.2690942341089249,1.9024053812026978,0.737
