Episode,Actor_Loss,Critic_Loss,Win_Rate
1000,-0.4788249634206295,6.301299273967743,0.804
2000,-0.46276276230812075,6.4015861511230465,0.805
3000,-0.4839855581521988,6.366512298583984,0.785
4000,-0.4624315559864044,6.325117683410644,0.779
5000,-0.44280938029289246,6.27632999420166,0.801
6000,-0.4693885385990143,6.441379356384277,0.786
7000,-0.4548348081111908,6.413471746444702,0.797
8000,-0.4507610207796097,6.374061346054077,0.78
9000,-0.45604833602905276,6.272833156585693,0.796
10000,-0.46805670380592346,6.48879108428955,0.824
11000,-0.45462512522935866,6.4811572432518005,0.814
12000,-0.48131750404834744,6.418328046798706,0.828
13000,-0.4542678505182266,6.3338264465332035,0.791
14000,-0.46065771996974947,6.467426824569702,0.815
15000,-0.46862122118473054,6.34999680519104,0.803
16000,-0.47763595581054685,6.484609699249267,0.845
17000,-0.4407500940561294,6.493352365493775,0.805
18000,-0.48011013492941856,6.354994177818298,0.811
19000,-0.46802050292491915,6.282311534881591,0.817
20000,-0.4407286155223846,6.2568295955657955,0.822
21000,-0.45668047964572905,6.339050245285034,0.816
22000,-0.44636752128601076,6.126912689208984,0.815
23000,-0.45778170406818386,6.196142864227295,0.822
24000,-0.4491457021236419,6.044229745864868,0.805
25000,-0.45264334976673126,6.101113677024841,0.833
26000,-0.44029475212097163,5.802704668045044,0.822
27000,-0.4110875076055526,5.893479728698731,0.818
28000,-0.4423330318927765,5.692206001281738,0.831
29000,-0.40373796939849854,5.504550886154175,0.816
30000,-0.42209770619869236,5.438340663909912,0.849
31000,-0.4066222034394741,5.152097165584564,0.821
32000,-0.39390885531902314,4.96458854675293,0.844
33000,-0.38768873929977415,4.760978031158447,0.835
34000,-0.40654040053486823,4.59993177652359,0.844
35000,-0.355974982380867,4.356117105484008,0.839
36000,-0.2989281418919564,4.19490008354187,0.835
37000,-0.2935870960354805,3.89522180557251,0.81
38000,-0.22063676103949548,3.8315083265304564,0.823
39000,-0.22403774037957191,3.7280189990997314,0.846
40000,-0.17968837924301623,3.6753343820571898,0.822
41000,-0.11811348862946032,3.6820804595947267,0.829
42000,-0.11189606841653586,3.649322211742401,0.829
43000,-0.0831956067122519,3.616335892677307,0.839
44000,-0.11755669426172972,3.420050024986267,0.833
45000,-0.09378412945196032,3.5190167665481566,0.859
46000,-0.04546178299933672,3.5038418769836426,0.833
47000,-0.08798346634954214,3.4091891765594484,0.844
48000,-0.06233958492055536,3.4132391452789306,0.834
49000,-0.061021030582487576,3.441286897659302,0.834
50000,-0.07116266181692482,3.2225607335567474,0.857
51000,-0.07371488245204091,3.299908232688904,0.842
52000,-0.0487593979947269,3.2673251390457154,0.84
53000,-0.06381838290020822,3.2169591188430786,0.841
54000,-0.03438990141730756,3.1586746871471405,0.85
55000,-0.040014024917036296,3.099688744544983,0.836
56000,-0.05810059875249862,3.1598042488098144,0.856
57000,-0.023861770872026684,2.9719274759292604,0.844
58000,-0.026097535341978072,2.903598427772522,0.811
59000,-0.0081317219696939,2.942785859107971,0.832
60000,-0.0011863935180008417,2.898014450073242,0.835
61000,-0.007884130533784627,2.862275218963623,0.833
62000,-0.02163012970704585,2.9035462737083435,0.866
63000,0.007589460108429194,2.724939560890198,0.837
64000,0.00557158464565873,2.6887263298034667,0.816
65000,0.02087504200171679,2.717639446258545,0.84
66000,-0.003381485659629106,2.578245234489441,0.833
67000,0.022107094433158635,2.5964312076568605,0.852
68000,-0.00042547589167952517,2.6083633661270142,0.856
69000,0.01783705053385347,2.6061099767684937,0.831
70000,0.03849467834457755,2.3907800197601317,0.827
71000,0.03570780646055936,2.4306722402572634,0.851
72000,0.05125232892110944,2.4416983842849733,0.825
73000,0.05348361420910805,2.3555051684379578,0.846
74000,0.07958288222551346,2.3446013927459717,0.838
75000,0.08772242814302446,2.350891089439392,0.838
76000,0.07195070604793727,2.2322572469711304,0.837
77000,0.07452480314299463,2.233545708656311,0.813
78000,0.09544756710529327,2.2536781311035154,0.829
79000,0.11145095862448215,2.2085908889770507,0.827
80000,0.09562861006706953,2.1274175941944122,0.829
