Episode,Actor_Loss,Critic_Loss,Win_Rate
1000,-0.46061792522668843,6.33545047044754,0.793
2000,-0.4702017915248871,6.268502521514892,0.776
3000,-0.46372296690940856,6.285433387756347,0.789
4000,-0.44078573524951936,6.353668451309204,0.759
5000,-0.45475975334644314,6.312784814834595,0.796
6000,-0.4361108911037445,6.3093305110931395,0.784
7000,-0.45644448578357694,6.353404712677002,0.793
8000,-0.47910968303680423,6.329901838302613,0.785
9000,-0.4396775203943252,6.353386926651001,0.788
10000,-0.47344114899635314,6.439356136322021,0.8
11000,-0.45285007953643797,6.321786546707154,0.787
12000,-0.4612104201316833,6.399664831161499,0.796
13000,-0.47446240246295934,6.391382169723511,0.796
14000,-0.45620485544204714,6.396689414978027,0.781
15000,-0.457798533141613,6.44076269865036,0.814
16000,-0.47515281379222873,6.374034404754639,0.804
17000,-0.4612810403108597,6.3926342010498045,0.791
18000,-0.4629097402095795,6.440599250793457,0.814
19000,-0.47569342970848083,6.369475936889648,0.79
20000,-0.46301382124423984,6.400445365905762,0.822
21000,-0.46310366809368136,6.358524990081787,0.81
22000,-0.46397419333457945,6.281494235992431,0.781
23000,-0.4686293983459472,6.474349689483643,0.8
24000,-0.45799031972885135,6.4272599697113035,0.79
25000,-0.45516562402248384,6.218789768218994,0.779
26000,-0.44377152979373935,6.382875967025757,0.784
27000,-0.45684667229652404,6.398482704162598,0.804
28000,-0.47419152706861495,6.297671914100647,0.793
29000,-0.45312857210636137,6.3250363826751705,0.809
30000,-0.4642119646072388,6.423053979873657,0.791
31000,-0.46079371571540834,6.2342691898345945,0.76
32000,-0.44597227811813356,6.331133842468262,0.81
33000,-0.46575580716133125,6.452873182296753,0.821
34000,-0.4688693189620972,6.46963939666748,0.814
35000,-0.4689303529262543,6.2642285346984865,0.792
36000,-0.4140001207590103,6.289601421356201,0.759
37000,-0.44265234529972075,6.269826126098633,0.794
38000,-0.44479634106159216,6.315685987472534,0.796
39000,-0.48148644745349883,6.289793395996094,0.81
40000,-0.4751022386550903,6.40589017868042,0.797
41000,-0.45434789955615995,6.389123380184174,0.813
42000,-0.4648079305887222,6.435889863967896,0.794
43000,-0.46226711034774787,6.337270879745484,0.773
44000,-0.43934679448604586,6.360741329193115,0.793
45000,-0.4490176647901535,6.284279632568359,0.783
46000,-0.47376804232597347,6.377105474472046,0.808
47000,-0.44058938980102547,6.469211864471435,0.809
48000,-0.45268869519233706,6.371737861633301,0.79
49000,-0.4699634295701981,6.310503625869751,0.788
50000,-0.46453430294990533,6.370457124710083,0.8
51000,-0.4451523935794831,6.29357590675354,0.778
52000,-0.47218847930431374,6.35790605545044,0.801
53000,-0.4772266954183579,6.464724004268646,0.809
54000,-0.4174346703290939,6.349790287017822,0.773
55000,-0.4807877063751221,6.409238624572754,0.82
56000,-0.472879718542099,6.4489930152893065,0.797
57000,-0.47555666387081147,6.384066581726074,0.808
58000,-0.47044741213321684,6.287724113464355,0.778
59000,-0.4597896248102188,6.415405321121216,0.804
60000,-0.4569969153404235,6.3967925071716305,0.808
61000,-0.4679550755023956,6.349927091598511,0.79
62000,-0.4581077134609222,6.4053719997406,0.792
63000,-0.44048449248075483,6.462360978126526,0.818
64000,-0.456905586719513,6.328346633911133,0.792
65000,-0.4613604116439819,6.425095319747925,0.799
66000,-0.4660134470462799,6.359594631195068,0.801
67000,-0.45439817845821373,6.44404559135437,0.794
68000,-0.46156964421272273,6.288761949539184,0.781
69000,-0.4342673021554947,6.322773694992065,0.785
70000,-0.4593336737155915,6.33116455078125,0.79
71000,-0.45571813702583314,6.248713779449463,0.782
72000,-0.45364636480808257,6.269219589233399,0.787
73000,-0.474555141478777,6.40592497587204,0.822
74000,-0.4984732222557068,6.425441551208496,0.802
75000,-0.44210429906845095,6.426276731491089,0.792
76000,-0.4771784317493439,6.311744832992554,0.805
77000,-0.4495123660564423,6.412233161926269,0.805
78000,-0.4891170662641525,6.472916746139527,0.813
79000,-0.4419052827358246,6.2492447853088375,0.776
80000,-0.4440910893678665,6.3913342475891115,0.82
