Episode,Actor_Loss,Critic_Loss,Win_Rate
Episode,Actor_Loss,Critic_Loss,Win_Rate
1000,-0.011908855011273414,1289.173176008044,0.785
Episode,Actor_Loss,Critic_Loss,Win_Rate
2000,-0.0018088877225295166,0.6430422998081319,0.789
Episode,Actor_Loss,Critic_Loss,Win_Rate
3000,0.017922294945059376,0.16082846997453581,0.8
Episode,Actor_Loss,Critic_Loss,Win_Rate
4000,0.11691083354482225,0.18699780056478962,0.789
Episode,Actor_Loss,Critic_Loss,Win_Rate
5000,0.0886607337821862,0.07206623930543422,0.804
Episode,Actor_Loss,Critic_Loss,Win_Rate
6000,0.0688544741632484,0.04265648675205295,0.796
Episode,Actor_Loss,Critic_Loss,Win_Rate
7000,0.17590814835973323,0.5535615024284626,0.787
Episode,Actor_Loss,Critic_Loss,Win_Rate
8000,0.18419753849555395,0.3227768554891411,0.807
Episode,Actor_Loss,Critic_Loss,Win_Rate
9000,0.18346373883133527,0.3402664029993027,0.788
Episode,Actor_Loss,Critic_Loss,Win_Rate
10000,0.17696581422239765,0.33270224345747584,0.804
Episode,Actor_Loss,Critic_Loss,Win_Rate
11000,0.1832316939763458,0.33809679359878986,0.78
Episode,Actor_Loss,Critic_Loss,Win_Rate
12000,0.18350622784921375,0.3204834529701921,0.824
Episode,Actor_Loss,Critic_Loss,Win_Rate
13000,0.1828184999762103,0.3323155088514089,0.79
Episode,Actor_Loss,Critic_Loss,Win_Rate
14000,0.18281657184769243,0.3313098965976203,0.803
Episode,Actor_Loss,Critic_Loss,Win_Rate
15000,0.1872640584050224,0.33795260739166505,0.806
Episode,Actor_Loss,Critic_Loss,Win_Rate
16000,0.1832174492540692,0.32866296278747176,0.813
Episode,Actor_Loss,Critic_Loss,Win_Rate
17000,0.184513658138158,0.33409981683339224,0.784
Episode,Actor_Loss,Critic_Loss,Win_Rate
18000,0.18298111274109988,0.3384357065596793,0.784
Episode,Actor_Loss,Critic_Loss,Win_Rate
19000,0.181915619096743,0.3220576909730931,0.802
Episode,Actor_Loss,Critic_Loss,Win_Rate
20000,0.1843601932350146,0.33211243266080526,0.793
Episode,Actor_Loss,Critic_Loss,Win_Rate
21000,0.18285997282861857,0.3237971138070047,0.802
Episode,Actor_Loss,Critic_Loss,Win_Rate
22000,0.1870967210451504,0.3392538720052542,0.8
Episode,Actor_Loss,Critic_Loss,Win_Rate
23000,0.1833599454479292,0.3212607377782464,0.804
Episode,Actor_Loss,Critic_Loss,Win_Rate
24000,0.1801033332291807,0.32976239323909934,0.775
Episode,Actor_Loss,Critic_Loss,Win_Rate
25000,0.18382184224874004,0.3293399423050383,0.792
Episode,Actor_Loss,Critic_Loss,Win_Rate
26000,0.18474931814791465,0.33041166511332676,0.811
Episode,Actor_Loss,Critic_Loss,Win_Rate
27000,0.1843801899021584,0.3321339646358021,0.804
Episode,Actor_Loss,Critic_Loss,Win_Rate
28000,0.1825887496267746,0.32848579552703966,0.817
Episode,Actor_Loss,Critic_Loss,Win_Rate
29000,0.18245594880251687,0.3276314942180992,0.799
Episode,Actor_Loss,Critic_Loss,Win_Rate
30000,0.18346043604137377,0.3294374796755612,0.804
Episode,Actor_Loss,Critic_Loss,Win_Rate
31000,0.18477487112823945,0.32605133525803687,0.816
Episode,Actor_Loss,Critic_Loss,Win_Rate
32000,0.18471414443868292,0.33331671646142574,0.813
Episode,Actor_Loss,Critic_Loss,Win_Rate
33000,0.18580099863918473,0.3256921093037468,0.803
Episode,Actor_Loss,Critic_Loss,Win_Rate
34000,0.18244525132295075,0.3246198406299152,0.813
Episode,Actor_Loss,Critic_Loss,Win_Rate
35000,0.1842521313564004,0.3290990712717324,0.817
Episode,Actor_Loss,Critic_Loss,Win_Rate
36000,0.18703148338375616,0.33707506677508353,0.803
Episode,Actor_Loss,Critic_Loss,Win_Rate
37000,0.1849778859046608,0.3280754208816567,0.825
Episode,Actor_Loss,Critic_Loss,Win_Rate
38000,0.18621759760313844,0.34018827522618067,0.781
Episode,Actor_Loss,Critic_Loss,Win_Rate
39000,0.18155803515276475,0.32692378704539604,0.79
Episode,Actor_Loss,Critic_Loss,Win_Rate
40000,0.17980023109247534,0.33153711136070463,0.779
