Episode,Actor_Loss,Critic_Loss,Win_Rate
500,7515.832695731946,187123019411.39072,0.94
1000,-0.34484594193371865,631937.7251855786,0.932
1500,-0.3785833389244296,1.378227724270387,0.942
2000,-0.3620941038836133,1.3585059886628932,0.928
2500,-0.4062881052494049,1.4055614796551792,0.942
3000,-0.3897180423850105,1.443880597750346,0.96
3500,-0.3789479205554182,1.386518730358644,0.96
4000,-0.3867420462044802,1.3875409310514277,0.928
4500,-0.37533199854872445,1.3742304363033988,0.934
5000,-0.38707816478880974,1.4244426136667079,0.954
5500,-0.36814662041989243,1.352719011631879,0.94
6000,-0.3677139703523029,1.389702558517456,0.938
6500,-0.3670134185390039,1.371763226660815,0.938
7000,-0.3576836572452025,1.3753645853562788,0.948
7500,-0.36463407874107356,1.367075657302683,0.936
8000,-0.3759262426332994,1.3950986022298986,0.946
8500,-0.3718772870573131,1.3999099081212825,0.936
9000,-0.3574118024246259,1.3404096473347058,0.926
9500,-0.3829296989874406,1.4217301417480817,0.954
10000,-0.3802745986391198,1.3684275367043235,0.95
