Episode,Actor_Loss,Critic_Loss,Win_Rate
500,-0.06785538807003337,0.27394416559995577,0.898
1000,0.03852940298130979,0.036252473157061184,0.908
1500,0.03160484597952429,0.034434589395380535,0.874
2000,0.02589569006454853,0.03257154364308173,0.898
2500,0.02942506492380862,0.03721464846445167,0.918
3000,0.03318828615592793,0.034237657715989786,0.966
3500,0.04120458130386065,0.039883583318442106,0.93
4000,0.037657811158252036,0.031389206859537146,0.974
4500,0.037877635175192895,0.0318470655686476,0.94
5000,0.03458285080268978,0.02868545525485561,0.946
5500,0.04013747796839612,0.02986848053776405,0.952
6000,0.03845869073910373,0.029075431016584236,0.954
6500,0.03774375353089493,0.033409187408245125,0.93
7000,0.02598066774358892,0.029939498590386433,0.928
7500,0.025744774586928542,0.03112737559106039,0.92
8000,0.030647014432840725,0.030371472408825703,0.916
8500,0.026525030792285898,0.026088162527784058,0.902
9000,0.030457606341176714,0.032076344339419964,0.922
9500,0.026538015760319385,0.03056779070554868,0.932
10000,0.025007903091450734,0.025442883583971045,0.944
