Episode,Actor_Loss,Critic_Loss,Win_Rate
500,-0.0697658200885815,0.31576714966268765,0.938
1000,0.04347264900994064,0.03611887652765621,0.922
1500,0.03650114915318504,0.03534407460171243,0.862
2000,0.03205679012057574,0.029263354716417583,0.886
2500,0.0337569654124546,0.032854342266269355,0.908
3000,0.03515927695711566,0.03136191555214199,0.91
3500,0.0379534482308056,0.03381428478852562,0.9
4000,0.031485898711759115,0.032476100341781326,0.88
4500,0.036189684564438225,0.03445691056549549,0.908
5000,0.035798198840094976,0.031810733773138214,0.91
5500,0.03723120565485696,0.030488615329174892,0.896
6000,0.0348320365830494,0.031132117633453825,0.908
6500,0.03480291146869686,0.02871986609798941,0.918
7000,0.0423675412879042,0.034362884116885456,0.922
7500,0.057531372055580676,0.038903517394580624,0.914
8000,0.0345155058124953,0.029918517755425495,0.928
8500,0.0382028512021696,0.031324243511665954,0.926
9000,0.034038615250028666,0.03167325592684475,0.928
9500,0.03736642430974271,0.03131680712913689,0.91
10000,0.03496803947967816,0.03225836932489818,0.9
