Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward,Pos0_Reward,Pos1_Reward,Pos2_Reward,Pos3_Reward,Pos4_Reward
1000,-0.8015560377985238,3.400676927566528,0.757,20.667,3.988,4.4475,4.18,3.982,4.0695
2000,0.8278103469982743,1.0444715398550035,0.743,20.5465,3.964,4.3685,4.056,4.019,4.139
3000,1.8608354391157629,0.6853712484240532,0.778,20.9345,4.0645,4.3995,4.21,4.1025,4.158
4000,2.1523356487353644,0.6920013248920439,0.72,20.2615,3.866,4.265,4.0765,3.907,4.147
5000,3.006679228305816,0.5395865696668625,0.731,20.269,3.9135,4.275,4.1345,3.896,4.05
6000,3.219957782268524,0.5700719058513641,0.707,19.938,3.8785,4.2995,4.126,3.7125,3.9215
7000,4.095687403202057,0.5215482354164124,0.668,19.2475,3.78,4.0255,3.9535,3.6775,3.811
8000,3.2662119364738467,0.53039808511734,0.68,19.5215,3.815,4.197,3.8695,3.75,3.89
9000,3.9836163411140446,0.5575073629617691,0.682,19.61,3.914,4.128,4.042,3.8495,3.6765
10000,3.1672808599472044,0.5215372705459594,0.704,19.888,3.9025,4.229,4.005,3.9065,3.845
11000,4.129188682079315,0.5742374658584595,0.76,20.713,4.044,4.472,4.1625,3.979,4.0555
12000,3.63605956363678,0.5260665088891983,0.752,20.5935,4.009,4.478,4.084,4.0335,3.989
13000,3.9840921454429625,0.5484412676095963,0.746,20.353,3.9465,4.3735,4.0955,3.9715,3.966
14000,3.77615766954422,0.5120098638534546,0.736,20.3005,3.9635,4.318,4.082,3.9795,3.9575
15000,4.189280640602112,0.5572238981723785,0.716,20.163,3.8445,4.2875,4.0545,3.888,4.0885
16000,4.077091652870179,0.5624849593639374,0.777,21.2355,4.0745,4.419,4.3315,4.191,4.2195
17000,3.9658989372253415,0.504950196146965,0.715,19.7995,3.953,4.156,3.9845,3.867,3.839
18000,3.6347558717727666,0.47167559206485754,0.669,18.961,3.7915,4.0265,3.8265,3.6655,3.651
19000,3.2936249480247497,0.4961790734529495,0.682,19.4195,3.945,4.151,3.964,3.6315,3.728
20000,4.315969831943511,0.48238625178734457,0.707,19.784,3.9155,4.22,3.9455,3.778,3.925
21000,3.493977518558502,0.5132725346088409,0.684,19.424,3.8405,4.231,3.805,3.729,3.8185
22000,3.9633575925827023,0.5191670435667038,0.677,19.6155,3.898,4.2615,3.8,3.64,4.016
23000,4.215325635910034,0.5204190939664841,0.72,20.303,4.064,4.247,3.9475,3.944,4.1005
24000,4.410557094573976,0.5074992287158966,0.734,20.641,4.1005,4.345,3.9295,3.9845,4.2815
25000,4.2465982661247255,0.4710244524478912,0.711,20.2135,4.013,4.2515,3.856,3.9335,4.1595
26000,3.8482372789382935,0.47253096282482154,0.72,20.1625,4.0455,4.584,3.8845,3.8,3.8485
27000,3.8782726159095766,0.4481441098451615,0.741,20.4585,4.1365,4.563,3.8975,3.889,3.9725
28000,3.741062267303467,0.46593492150306715,0.753,20.721,4.1475,4.513,4.0495,3.938,4.073
29000,4.029713538885117,0.4888912625610829,0.768,20.9835,4.054,4.488,4.29,4.0025,4.149
30000,3.9521503348350526,0.5030659347772598,0.747,20.691,4.053,4.3875,4.151,3.996,4.1035
31000,4.268738582134246,0.4917069506645203,0.755,20.8105,4.0775,4.4805,4.126,4.0345,4.092
32000,3.9047519264221195,0.5167746633291245,0.746,20.85,4.044,4.4585,4.163,4.082,4.1025
33000,3.8825956439971927,0.4671134340763093,0.689,19.445,3.905,4.2495,3.735,3.689,3.8665
34000,3.691044676780701,0.48326387822628025,0.703,19.706,3.84,4.323,3.905,3.747,3.891
35000,3.577260905742645,0.4748080027103424,0.729,20.3925,3.9635,4.473,4.0455,3.879,4.0315
36000,3.835053412437439,0.4711927169561386,0.713,20.1305,3.9595,4.331,4.092,3.7885,3.9595
