Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward
1024,-1.5924117505550384,34.72406482696533,0.8115234375,18.4248046875
2048,-1.616286826133728,34.857855224609374,0.810546875,18.380859375
3072,-1.598984844684601,34.78420448303223,0.796875,18.185546875
4096,-1.6777415347099303,34.67149810791015,0.8232421875,18.59765625
5120,-1.6155358672142028,33.3670093536377,0.798828125,18.396484375
6144,-1.6084250164031981,33.238668060302736,0.787109375,18.15625
7168,-1.626773338317871,34.50460700988769,0.8125,18.4404296875
8192,-1.6047678637504579,34.37375335693359,0.8046875,18.4248046875
9216,-1.5083485746383667,33.01526775360107,0.7958984375,18.2294921875
10240,-1.7162142705917358,34.50928268432617,0.8056640625,18.4248046875
11264,-1.6231030178070067,33.51080493927002,0.806640625,18.5029296875
12288,-1.6846447515487672,34.25335006713867,0.8115234375,18.521484375
13312,-1.5659292459487915,33.806806564331055,0.796875,18.3681640625
14336,-1.597156240940094,33.36968727111817,0.79296875,18.3466796875
15360,-1.6226803988218308,34.36404800415039,0.8203125,18.5615234375
16384,-1.6481187605857852,35.447238540649415,0.8349609375,18.740234375
17408,-1.6747235035896302,34.4506420135498,0.826171875,18.65625
18432,-1.5227308201789855,34.36542015075683,0.8017578125,18.4375
19456,-1.6318429946899413,34.14927253723145,0.8173828125,18.5673828125
20480,-1.6030853414535522,34.1494026184082,0.8291015625,18.7265625
21504,-1.6279782152175901,34.80602684020996,0.822265625,18.65625
22528,-1.6051802396774293,34.38966369628906,0.822265625,18.546875
23552,-1.619523012638092,33.8603931427002,0.8134765625,18.4150390625
24576,-1.6536982917785648,34.32559700012207,0.82421875,18.6796875
25600,-1.5536683440208434,33.49886207580566,0.81640625,18.56640625
26624,-1.6781693506240842,33.94351081848144,0.8349609375,18.7939453125
27648,-1.6376720380783083,34.24375991821289,0.8408203125,18.8037109375
28672,-1.6435014772415162,34.60983657836914,0.84375,18.896484375
29696,-1.5118116331100464,32.513496017456056,0.798828125,18.353515625
30720,-1.558861858844757,32.47858486175537,0.80859375,18.5078125
31744,-1.5837240624427795,33.46071166992188,0.83203125,18.744140625
32768,-1.6782754898071288,34.32400665283203,0.841796875,18.7822265625
33792,-1.5181545466184616,32.7155601978302,0.8134765625,18.6201171875
34816,-1.5674236965179442,32.874813652038576,0.8212890625,18.6025390625
35840,-1.5456394863128662,32.00535125732422,0.822265625,18.650390625
36864,-1.520357210636139,33.70456962585449,0.8330078125,18.69140625
37888,-1.5081322908401489,32.77644672393799,0.83203125,18.748046875
38912,-1.4896099352836607,33.036919593811035,0.8349609375,18.7333984375
39936,-1.4501759004592898,32.04226570129394,0.818359375,18.724609375
