Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward,Pos0_Reward,Pos1_Reward,Pos2_Reward,Pos3_Reward,Pos4_Reward
55000,0.8342444363832474,0.6611577820777892,0.763,11.1735,2.165,2.3325,2.255,2.177,2.244
56000,0.8020390117168427,0.6602991402149201,0.748,11.0485,2.13,2.308,2.2065,2.1985,2.2055
57000,0.863272099852562,0.6639822423458099,0.764,11.129,2.1805,2.3295,2.2355,2.1925,2.191
58000,0.81020401096344,0.6540715396404266,0.75,11.202,2.1915,2.337,2.283,2.193,2.1975
59000,0.8290939431190492,0.6608983170986176,0.777,11.1435,2.1625,2.3325,2.239,2.18,2.2295
60000,0.8744325218598049,0.6636665463447571,0.742,11.141,2.1465,2.3635,2.227,2.199,2.205
61000,0.8698418341875076,0.6475371253490448,0.76,11.0435,2.1685,2.3145,2.198,2.163,2.1995
62000,0.8662295771837234,0.6514030718803406,0.728,11.0975,2.119,2.3615,2.229,2.1885,2.1995
63000,0.8918935074806212,0.6461669898033142,0.75,11.021,2.126,2.3005,2.2575,2.1675,2.1695
64000,0.9489998495578765,0.6391515398025513,0.753,11.163,2.164,2.33,2.2455,2.201,2.2225
65000,0.9078051040172579,0.6503063821792603,0.753,11.1475,2.17,2.3315,2.235,2.17,2.241
66000,0.9496075020432471,0.6583373463153839,0.755,11.204,2.14,2.353,2.266,2.2475,2.1975
67000,0.8561001024246216,0.6383333623409271,0.741,11.107,2.16,2.331,2.214,2.203,2.199
68000,0.9901353046894075,0.6558279049396515,0.758,11.0835,2.162,2.316,2.234,2.1685,2.203
69000,0.9415443069934846,0.6222798192501069,0.705,10.9555,2.117,2.3365,2.1955,2.151,2.1555
70000,1.0144207037687303,0.6404552245140076,0.759,11.1115,2.166,2.3235,2.227,2.225,2.17
71000,0.8922867496013641,0.6425670850276947,0.75,11.0995,2.1405,2.3325,2.2335,2.171,2.222
72000,1.013693532049656,0.6222094929218291,0.765,11.1065,2.1495,2.36,2.2205,2.195,2.1815
73000,1.0596017894744874,0.6441186940670014,0.75,11.1735,2.18,2.319,2.2745,2.1795,2.2205
74000,1.0608418893814087,0.6234782314300537,0.738,10.9495,2.14,2.344,2.201,2.1085,2.156
75000,1.0951133222579956,0.6340621876716612,0.769,11.234,2.1795,2.325,2.2915,2.232,2.206
76000,1.0676837633848189,0.628168568611145,0.752,11.106,2.158,2.35,2.231,2.1795,2.1875
77000,1.2105905752182007,0.6169821429252625,0.76,11.112,2.1675,2.3375,2.2315,2.2245,2.151
78000,1.0557363409996032,0.6198771297931671,0.732,10.994,2.109,2.3295,2.2745,2.125,2.156
79000,1.0339523434638977,0.5993103325366974,0.755,11.063,2.133,2.326,2.23,2.1835,2.1905
80000,1.0875125284194946,0.6057537651062013,0.75,11.095,2.163,2.2975,2.2785,2.164,2.192
81000,1.1511571383476258,0.6116596150398255,0.755,11.063,2.114,2.319,2.224,2.206,2.2
82000,1.157220015525818,0.6075472545623779,0.754,11.084,2.139,2.2945,2.2355,2.222,2.193
83000,1.1352808797359468,0.6147996842861175,0.769,11.1975,2.1675,2.3445,2.268,2.217,2.2005
84000,1.2529360179901126,0.6051552927494049,0.747,11.1425,2.1535,2.3495,2.2475,2.1895,2.2025
85000,1.22728808259964,0.6197730112075807,0.76,11.168,2.162,2.3435,2.2685,2.194,2.2
86000,1.1624122836589814,0.5799837791919709,0.767,11.0825,2.151,2.3325,2.2355,2.18,2.1835
87000,1.1520680252313613,0.5958390009403228,0.749,11.1295,2.144,2.3245,2.2385,2.203,2.2195
88000,1.1777911365032196,0.6131458127498627,0.763,11.117,2.1505,2.347,2.2285,2.1755,2.2155
89000,1.2719349052906035,0.6003551310300828,0.756,11.112,2.1475,2.318,2.2555,2.194,2.197
90000,1.3337043128013613,0.5997751450538635,0.764,11.0685,2.155,2.324,2.24,2.1685,2.181
91000,1.2980066511631012,0.5822381913661957,0.763,11.16,2.1425,2.3575,2.2605,2.216,2.1835
92000,1.2383332312107087,0.5967376953363418,0.775,11.1805,2.1835,2.3215,2.233,2.215,2.2275
93000,1.2486949305534363,0.5974839985370636,0.777,11.201,2.182,2.3375,2.2605,2.2005,2.2205
